Date_of_Reporting	Deaths	deaths_cumulative	New_Local_Cases	New_Imported_Cases	New_Undetermined_Cases	New_Total_Cases	Unidentifiable	New_Local_Cases_Source	Notes	Num_Delayed	Date_of_Reporting_REPEAT	New_Local_Cases_Original	New_Local_Cases_20210522	New_Local_Cases_20210523	New_Local_Cases_20210524	New_Local_Cases_20210525	New_Local_Cases_20210526	New_Local_Cases_20210527	New_Local_Cases_20210528	ERR_New_Local_Cases_20210529_ERROR_REPORTED	New_Local_Cases_20210529	New_Local_Cases_20210530	New_Local_Cases_20210531	New_Local_Cases_20210601	New_Local_Cases_20210602	New_Local_Cases_20210603	New_Local_Cases_20210604	New_Local_Cases_20210605	New_Local_Cases_20210606	New_Local_Cases_Revised	Revised_Status	Specimen_from_Reported_COVID-19	Specimen_from_Reported_from_Home_Quarantine	Specimen_from_Enhanced_Surveillance	Total
2020/2/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/2/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	87	10	414	511
2020/3/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/1	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	98	5	327	430
2020/3/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/2	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	162	2	436	600
2020/3/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/3	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	148	0	358	506
2020/3/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/4	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	137	0	348	485
2020/3/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/5	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	83	0	214	297
2020/3/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/6	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	99	0	282	381
2020/3/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/7	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	75	0	232	307
2020/3/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/8	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	51	0	247	298
2020/3/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/9	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	98	0	378	476
2020/3/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/10	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	84	0	248	332
2020/3/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/11	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	81	0	364	445
2020/3/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/12	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	63	0	614	677
2020/3/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/13	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	94	0	345	439
2020/3/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/14	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	78	0	301	379
2020/3/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/15	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	65	0	241	306
2020/3/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/16	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	145	0	585	730
2020/3/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/17	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	178	0	695	873
2020/3/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/18	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	267	0	930	1197
2020/3/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/19	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	350	0	1013	1363
2020/3/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/20	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	447	0	924	1371
2020/3/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/21	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	371	0	676	1047
2020/3/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/22	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	266	0	545	811
2020/3/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/23	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	446	0	693	1139
2020/3/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/24	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	382	0	542	924
2020/3/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/25	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	363	0	575	938
2020/3/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/26	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	330	0	599	929
2020/3/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/27	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	358	0	506	864
2020/3/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/28	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	220	0	307	527
2020/3/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/29	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	245	0	590	835
2020/3/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	NA	PENDING			2020/3/30	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	PENDING	FALSE	367	0	656	1023
